S.No,IMO Number,Vessel Name,Maker,Model,Make Type,Detail,Engine Type,Mark,Emission,Features,Injection,MAKE,MODEL
1,9920679,ACE ETERNITY,HITACHI MAN B&W,7S65ME-C8.5,MAN B&W,7S65,ME-C,8.5,,,,MAN BW,7S65::8.5
2,9323314,ADITYA,KAWASAKI MAN B&W,6S50MC-C,MAN B&W,6S50,MC-C,,,,,MAN BW,6S50
3,9881639,ADVAITA,CMD MAN B&W,6S40ME-B MARK 9.5,MAN B&W,6S40,ME-B,9.5,,,,MAN BW,6S40::9.5
4,9736418,AFRICAN BULKER,MITSUI MAN B&W,5S50ME-B9.3,MAN B&W,5S50,ME-B,9.3,,,,MAN BW,5S50::9.3
5,9720225,AFRICAN BUZZARD,MITSUI-MAN B&W,7S50ME-B9.3,MAN B&W,7S50,ME-B,9.3,,,,MAN BW,7S50::9.3
6,9701712,AFRICAN SPOONBILL,MITSUI MAN B&W,6S50ME-B9.3,MAN B&W,6S50,ME-B,9.3,,,,MAN BW,6S50::9.3
7,9701700,AFRICAN TURACO,MITSUI MAN B&W,6S50ME-B9.3,MAN B&W,6S50,ME-B,9.3,,,,MAN BW,6S50::9.3
8,9415404,AL AGAILA,HYUNDAI MAN B&W,6S70MC-C,MAN B&W,6S70,MC-C,,,,,MAN BW,6S70
9,9700225,AL-BETROLEYA,STX MAN B&W,6G50ME-B9.3 (MK 9.3),MAN B&W,6G50,ME-B,9.3,,,,MAN BW,6G50::9.3
10,9939163,ALHAYA,STX MAN B&W,6G60ME-C10.5,MAN B&W,6G60,ME-C,10.5,,,,MAN BW,6G60::10.5
11,9832925,AM KIRTI,HYUNDAI MAN B&W,6G70ME-C MARK 9.5,MAN B&W,6G70,ME-C,9.5,,,,MAN BW,6G70::9.5
13,9427330,AM OCEAN PRIDE,STX MAN B&W,6S50MC-C,MAN B&W,6S50,MC-C,,,,,MAN BW,6S50
14,9427330,AM OCEAN PRIDE,MITSUI MAN B&W,6S50MC-C,MAN B&W,6S50,MC-C,,,,,MAN BW,6S50
15,9288497,AM OCEAN SILVER,MITSUI MAN B&W,6S50MC MARK -6,MAN B&W,6S50,MC-C,6,,,,MAN BW,6S50::6
16,9336385,AM OCEAN STAR,MITSUI MAN B&W,6S50MC (MK-6),MAN B&W,6S50,MC-C,6,,,,MAN BW,6S50::6
17,9832913,AM TARANG,HYUNDAI MAN B&W,6G70ME-C MARK 9.5,MAN B&W,6G70,ME-C,9.5,,,,MAN BW,6G70::9.5
19,9792058,AM UMANG,MITSUI MAN B&W,6S60ME-C8.2,MAN B&W,6S60,ME-C,8.2,,,,MAN BW,6S60::8.2
20,9993494,AMBER ETERNITY,STX MAN B&W,6G50ME-C9.6-HPSCR,MAN B&W,6G50,ME-C,9.6,,HPSCR,,MAN BW,6G50::9.6
21,9736420,AMERICAN BULKER,MITSUI MAN B&W,5S50ME-B9.3,MAN B&W,5S50,ME-B,9.3,,,,MAN BW,5S50::9.3
22,9552989,AMIS ACE,KAWASAKI MAN B&W,6S50MC-C7,MAN B&W,6S50,MC-C,7,,,,MAN BW,6S50::7
23,9667459,AMIS BRAVE,MITSUI MAN B&W,6S50MC-C,MAN B&W,6S50,MC-C,,,,,MAN BW,6S50
24,9705421,AMIS ELEGANCE,KAWASAKI MAN B&W,6S50ME-B8.2,MAN B&W,6S50,ME-B,8.2,,,,MAN BW,6S50::8.2
